"","X","Date","Ship_Type","Lat1","Lon1","Piracy_Area","Ship_Name","Location"
"3",3,"2006-06-04","Tanker",25.6666666666667,57.0666666666667,"In international waters","AL SHAHABA","Persian Gulf"
"5",5,"2006-10-19","Other",28.7835,49.4736666666667,"In international waters","SALIS NO. 10185","Persian Gulf"
"6",6,"2006-12-10","Bulk",14.25,59.8333333333333,"In international waters","LAEMTHONG PRIDE","Arabian Sea"
"7",7,"2007-02-27","Other",21.1911666666667,59.5616666666667,"In international waters","RAINBOW WARRIOR","Arabian Sea"
"8",8,"2007-03-11","Other",18.5426666666667,38.2041666666667,"Territorial waters","NORTHERN EXPLORER","Red Sea"
"9",9,"2007-03-12","Other",18.4836666666667,38.321,"In international waters","NORTHERN EXPLORER","Red Sea"
"10",10,"2007-04-13","Bulk",11.95,60.3833333333333,"In international waters","ATLANTIC BREEZE","Arabian Sea"
"11",11,"2007-04-22","Tanker",20.645,59.2833333333333,"In international waters","GAS BEAUTY","Arabian Sea"
"12",12,"2007-10-04","Bulk",25.3666666666667,58.0833333333333,"In international waters","LOVESTAR","Persian Gulf"
"13",13,"2009-04-06","Bulk",15.2245,67.2516666666667,"In international waters","SHANGHAI VENTURE","Arabian Sea"
"14",14,"2009-10-07","Tanker",25.0316666666667,58.0883333333333,"In international waters","ZHONG CHI","Persian Gulf"
"15",15,"2010-02-23","Bulk",16.5,58.8333333333333,"In international waters","KALYPSO","Arabian Sea"
"16",16,"2010-03-02","Tanker",15.55,59.8833333333333,"In international waters","PANTELIS","Arabian Sea"
"17",17,"2010-04-05","Tanker",18.35,59.0166666666667,"In international waters","RISING SUN","Arabian Sea"
"19",19,"2010-04-23","Tanker",14.8,65.3,"In international waters","PYXIS DELTA","Arabian Sea"
"20",20,"2010-04-25","Tanker",18.1,65.7833333333333,"In international waters","ISUZUGAWA","Arabian Sea"
"21",21,"2010-05-05","Tanker",12.2666666666667,59.5,"In international waters","MOSCOW UNIVERSITY","Arabian Sea"
"22",22,"2010-05-12","Bulk",15.9166666666667,60.8333333333333,"In international waters","ELENI P","Arabian Sea"
"23",23,"2010-06-02","Container",21.495,59.6838333333333,"In international waters","ALBEDO","Arabian Sea"
"26",26,"2010-11-24","Tanker",15.0783333333333,67.0966666666667,"In international waters","NORMA N","Arabian Sea"
"27",27,"2010-11-24","Bulk",14.7433333333333,65.995,"In international waters","PAGONA","Arabian Sea"
"28",28,"2010-11-25","Tanker",14.8666666666667,68,"In international waters","GURU GOBIND SINGH","Arabian Sea"
"29",29,"2010-11-25","Tanker",19.83,62.97,"In international waters","HADI","Arabian Sea"
"30",30,"2010-11-26","Tanker",26.1133333333333,55.2666666666667,"In international waters","SK SUPREME","Persian Gulf"
"31",31,"2010-11-28","Bulk",14.86,68.225,"In international waters","PISTIS","Arabian Sea"
"32",32,"2010-12-10","Tanker",20.9166666666667,62.7833333333333,"In international waters","UNITED STAR","Arabian Sea"
"33",33,"2010-12-13","Tanker",19.8983333333333,66.06,"In international waters","YANASENI","Arabian Sea"
"34",34,"2010-12-19","Tanker",19.0666666666667,62.1666666666667,"In international waters","DOUBTLESS","Arabian Sea"
"35",35,"2010-12-22","Tanker",17,62.8833333333333,"In international waters","NORD STRAIT","Arabian Sea"
"36",36,"2011-01-02","Container",17.75,66.2166666666667,"In international waters","ZIM ASIA","Arabian Sea"
"37",37,"2011-01-15","Tanker",22,64,"In international waters","SAMHO JEWELRY","Arabian Sea"
"38",38,"2011-01-30","Container",14.9733333333333,64.575,"In international waters","VALERIE SCHULTE","Arabian Sea"
"39",39,"2011-01-30","Bulk",25.0333333333333,60.3833333333333,"In international waters","STAR OF ABU DHABI","Persian Gulf"
"40",40,"2011-02-02","Tanker",20.2666666666667,63.6,"In international waters","DUQM","Arabian Sea"
"41",41,"2011-02-05","Container",10.3533333333333,65.4616666666667,"In international waters","PUELCHE","Arabian Sea"
"42",42,"2011-02-13","Other",15.2333333333333,56.3333333333333,"In international waters","HOEG TROOPER","Arabian Sea"
"43",43,"2011-02-18","Other",18,61.0333333333333,"In international waters","QUEST","Arabian Sea"
"44",44,"2011-02-23","Container",20.5823333333333,59.3948333333333,"In international waters","APL RUBY","Arabian Sea"
"45",45,"2011-02-24","Tanker",24.6166666666667,59.3948333333333,"In international waters","FAUSKANGER","Persian Gulf"
"46",46,"2011-02-25","Container",14.7666666666667,58.65,"In international waters","MSC KALINA","Arabian Sea"
"47",47,"2011-02-25","Bulk",14.7,58.7666666666667,"In international waters","GREAT LEGEND","Arabian Sea"
"48",48,"2011-02-25","Bulk",15.3333333333333,58.4,"In international waters","GENCO AUGUSTUS","Arabian Sea"
"49",49,"2011-02-25","Container",14.9866666666667,58.835,"In international waters","MSC CAMILLE","Arabian Sea"
"50",50,"2011-02-27","Bulk",20.4833333333333,60.1333333333333,"In international waters","KIRAN ASYA","Arabian Sea"
"51",51,"2011-02-28","Bulk",18.8,58.4166666666667,"In international waters","DOVER","Arabian Sea"
"52",52,"2011-02-28","Tanker",16.7333333333333,55.6166666666667,"In international waters","ALFA KARADENIZ","Arabian Sea"
"54",54,"2011-03-04","Tanker",19.4833333333333,58.8666666666667,"In international waters","GAS LOMBOK","Arabian Sea"
"55",55,"2011-05-21","Container",25.4833333333333,57.5166666666667,"In international waters","SAMIN 1","Persian Gulf"
"56",56,"2011-06-01","Tanker",23.637,58.6333333333333,"In international waters","COUGAR","Persian Gulf"
"57",57,"2011-06-24","Tanker",21.05,60.2,"In international waters","OMEGA DUKE","Arabian Sea"
"58",58,"2011-06-26","Bulk",21.7,60.4833333333333,"In international waters","SAGAR RATAN","Arabian Sea"
"59",59,"2011-07-01","Tanker",14.025,67.4416666666667,"In international waters","ALPINE PERSEFONE","Arabian Sea"
"60",60,"2011-09-25","Bulk",14.15,42.8166666666667,"In international waters","C S CIHAN","Red Sea"
"61",61,"2011-10-01","Bulk",14.1666666666667,62.8,"In international waters","GIBE","Arabian Sea"
"63",63,"2011-11-01","Tanker",17.4,57.5666666666667,"In international waters","ELKA ATHINA","Arabian Sea"
"64",64,"2011-11-13","Bulk",14.6833333333333,50.875,"In international waters","VOGESAILOR","Arabian Sea"
