Date,Ship_Number,Total Gross Ton
39083,4305,37543023
39114,4364,38353684
39142,4824,41760092
39173,4817,39600435
39203,5196,42279703
39234,4817,40025438
39264,4932,41965546
39295,4865,39838489
39326,4644,39714397
39356,4942,43848973
39387,4200,37598534
39417,4700,42339382
39448,3949,36438266
39479,4029,36594708
39508,4904,42905410
39539,4890,43233610
39569,5014,44366542
39600,4909,42625497
39630,5064,46119645
39661,4988,46415268
39692,4570,43711050
39722,4479,47154955
39753,3816,41245600
39783,3784,42829063
39814,3624,40995337
39845,3407,38265962
39873,4381,43847326
39904,4486,43759290
39934,4382,43172384
39965,4378,41439056
39995,4462,42820169
40026,4650,44103265
40057,4431,43595643
40087,4706,46016269
40118,4185,42606016
40148,4330,44035729
40179,3755,41654903
40210,3462,36492487
40238,4287,42347513
40269,4410,42105512
40299,4873,44126182
40330,4600,41248898
40360,4619,44528909
40391,4588,47497416
40422,4063,41537792
40452,4065,41408770
40483,3836,37787961
40513,4313,44879538
40544,4109,40243194
40575,3565,36486172
40603,4104,41233253
40634,4056,41977828
40664,4268,43839251
40695,3988,40554361
40725,4321,44082266
40756,4297,46731564
40787,4152,47205398
40817,4331,48344021
40848,4108,46104154
40878,4499,46742047
40909,3990,45428516
40940,3101,39383288
40969,3923,45163376
41000,4367,47310310
41030,4521,47260398
41061,4190,44300556
41091,4173,46720793
41122,4081,48519725
41153,4159,47700602
41183,4066,48740446
41214,4111,46103589
41244,3647,43894980
41275,3738,41851859
41306,3469,39745092
41334,3854,44979955
41365,3808,43338680
41395,3894,42384720
41426,3708,41407818
41456,3981,47269513
41487,4016,50674210
41518,3909,48960916
41548,3823,50598052
41579,4145,51434607
41609,4187,49126358
41640,3811,46158637
41671,3181,40968096
41699,3968,49658165
41730,4100,48377523
41760,4100,48726107
41791,3689,45049691
41821,3814,50183180
41852,3930,54013777
41883,3709,50186196
41913,3853,50793220
41944,3843,51341274
41974,3531,47012468
42005,3499,46358880
42036,3320,43731173
42064,3748,48791745
42095,3540,45256233
42125,3761,45693646
42156,3666,44912856
42186,3711,47695831
42217,3564,49274925
42248,3481,47744008
42278,3749,49546965
42309,3703,46094640
42339,3802,50115882
42370,3103,41342718
42401,3146,41688172
42430,3786,51423593
42461,3612,45378529
42491,3754,45786750
42522,3463,44379390
42552,3504,47929178
42583,3714,50140136
42614,3619,48219584
42644,3738,51755564
42675,3610,48218615
42705,3504,49020058
42736,3417,46327093
42767,2919,40481720
42795,3744,51966688
42826,3511,47763199
42856,3778,51638407
42887,3521,48292804
42917,3455,48897723
42948,3712,54168194
42979,3378,51024012
43009,3861,52987789
43040,3809,53165444
43070,3873,52611675
43101,3374,47293602
43132,3237,46327666
43160,3706,51869688
43191,3595,52509361
43221,3568,51061996
43252,3229,47592533
43282,3608,52016359
43313,3444,54026054
43344,3157,50332247
43374,3518,54770175
43405,3193,52003434
43435,3474,53285051
43466,3355,50859558
43497,3009,47960616
43525,3583,54521492
43556,3330,46663070
43586,3407,49429977
43617,3170,48946429
43647,3545,58413832
43678,3528,57295849
43709,3425,53046831
43739,3830,59540423
43770,3277,54444095
43800,3653,57769890
